index,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste
0,2454,5150,U.S.A,2019,Madagascar,"Bejofo Estate, batch 1",76,3.75,3,Bean,Cocoa butter,,,,Sugar,,cocoa,blackberry,full body,
1,2458,5150,U.S.A,2019,Dominican republic,"Zorzal, batch 1",76,3.5,3,Bean,Cocoa butter,,,,Sugar,,cocoa,vegetal,savory,
2,2454,5150,U.S.A,2019,Tanzania,"Kokoa Kamili, batch 1",76,3.25,3,Bean,Cocoa butter,,,,Sugar,,rich cocoa,fatty,bready,
3,797,A. Morin,France,2012,Peru,Peru,63,3.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,fruity,melon,roasty,
4,797,A. Morin,France,2012,Bolivia,Bolivia,70,3.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,vegetal,nutty,,
5,1015,A. Morin,France,2013,Venezuela,Chuao,70,4,4,Bean,Cocoa butter,,Lecithin,,Sugar,,oily,nut,caramel,raspberry
6,1019,A. Morin,France,2013,Peru,Chanchamayo Province,63,4,3,Bean,Cocoa butter,,,,Sugar,,sweet,cocoa,tangerine,
7,1011,A. Morin,France,2013,Ecuador,Equateur,70,3.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,sandy,nutty,cocoa,fig
8,1019,A. Morin,France,2013,Peru,Chanchamayo Province,70,3.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,cocoa,sour,intense tangerine,
9,1011,A. Morin,France,2013,Brazil,Brazil,70,3.25,4,Bean,Cocoa butter,,Lecithin,,Sugar,,mild tobacco,,,
10,1015,A. Morin,France,2013,Papua new guinea,Papua New Guinea,70,3.25,4,Bean,Cocoa butter,,Lecithin,,Sugar,,mild fruit,strong smoke,,
11,1019,A. Morin,France,2013,Peru,Piura,70,3.25,4,Bean,Cocoa butter,,Lecithin,,Sugar,,green,nutty,cocoa,
12,1011,A. Morin,France,2013,Madagascar,"Madagascar, Criollo",70,3,4,Bean,Cocoa butter,,Lecithin,,Sugar,,sticky,red fruit,sour,
13,1015,A. Morin,France,2013,Burma,Birmanie,70,3,4,Bean,Cocoa butter,,Lecithin,,Sugar,,sticky,smokey,grass,
14,1011,A. Morin,France,2013,Panama,Panama,70,2.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,brief fruit note,earthy,nutty,
15,1015,A. Morin,France,2013,Colombia,Colombie,70,2.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,burnt rubber,alkalyzed notes,,
16,1319,A. Morin,France,2014,Peru,Pablino,70,4,4,Bean,Cocoa butter,,Lecithin,,Sugar,,delicate,hazelnut,brownie,
17,1319,A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo",70,3.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,astringent,nutty,chocolatey,
18,1315,A. Morin,France,2014,Cuba,Cuba,70,3.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,sliglty dry,papaya,,
19,1315,A. Morin,France,2014,Venezuela,"Sur del Lago, Criollo",70,3.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,nutty,mild choco,roasty,
20,1315,A. Morin,France,2014,Venezuela,"Carenero, Criollo",70,2.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,harsh,leather,earthy,
21,1680,A. Morin,France,2015,Togo,Akata,70,3.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,mild profile,chocolaty,spice,
22,1704,A. Morin,France,2015,Peru,Quilla,70,3.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,grainy texture,cocoa,sweet,
23,1676,A. Morin,France,2015,Togo,Atsane,70,3,4,Bean,Cocoa butter,,Lecithin,,Sugar,,roasty,acidic,nutty,
24,1676,A. Morin,France,2015,Togo,Kpime,70,2.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,burnt wood,earthy,choco,
25,1876,A. Morin,France,2016,Sao tome,Agua Grande,63,3.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,sweet,chocolatey,vegetal,
26,2206,A. Morin,France,2018,Peru,Absolu,63,3.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,sweet,dairy,spice,cocoa
27,2206,A. Morin,France,2018,Venezuela,Porcelana,70,3.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,alluring aroma,powdery,nutty,
28,1462,Acalli,U.S.A,2015,Peru,"Chulucanas, El Platanal, batch 001",70,3.75,2,Bean,,,,,Sugar,,yellow fruit,,,
